,Airport,Prox_Airports
10,00674.*A,"['00751.4*A', '00788.*A', '01353.*A', '01975.1*A', '01346.*A', '01369.1*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01899.*A', '02166.*A', '01986.*A', '02017.*A', '02112.*A', '02170.*A', '01539.*A', '02341.*A', '02396.*A', '02413.*A', '01818.1*A', '02356.1*A', '02517.*A', '02588.*A', '02596.131*A', '02623.*A', '02631.*A', '14532.*A', '14733.4*A', '13048.*A', '13072.*A', '13079.25*A', '13108.*A', '25117.*A', '25289.*A', '25287.*A', '25324.*A']"
11,00751.4*A,"['00674.*A', '00788.*A', '01353.*A', '01975.1*A', '01369.1*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01376.1*A', '01899.*A', '02166.*A', '01986.*A', '02017.*A', '02112.*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02396.*A', '02413.*A', '01818.1*A', '02356.1*A', '02517.*A', '02631.*A', '14532.*A', '14733.4*A', '13072.*A', '13108.*A', '25117.*A', '25289.*A', '25287.*A', '25324.*A']"
12,00788.*A,"['00674.*A', '00751.4*A', '01353.*A', '01975.1*A', '01369.1*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01376.1*A', '01899.*A', '02166.*A', '01986.*A', '02017.*A', '02112.*A', '02170.*A', '01539.*A', '02341.*A', '02396.*A', '02413.*A', '01818.1*A', '02356.1*A', '02517.*A', '02588.*A', '02631.*A', '14532.*A', '14733.4*A', '13108.*A', '25117.*A', '25289.*A', '25287.*A', '25324.*A']"
13,01353.*A,"['00674.*A', '00751.4*A', '00788.*A', '01975.1*A', '01346.*A', '01437.*A', '01369.1*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '13048.*A', '13072.*A', '13108.*A', '25117.*A']"
14,01975.1*A,"['00674.*A', '00751.4*A', '00788.*A', '01353.*A', '01346.*A', '01437.*A', '01369.1*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02396.*A', '02413.*A', '01818.1*A', '02356.1*A', '13072.*A', '13108.*A', '25117.*A']"
15,01346.*A,"['00674.*A', '01353.*A', '01975.1*A', '01437.*A', '01369.1*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '01560.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '04206.*A', '13048.*A', '13072.*A', '13079.25*A', '13108.*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19514.*A', '19589.*A', '25117.*A', '25289.*A', '25287.*A']"
16,01437.*A,"['01353.*A', '01975.1*A', '01346.*A', '01369.1*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '01560.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '13048.*A', '13072.*A', '13079.25*A', '13108.*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19514.*A', '19589.*A', '25117.*A']"
17,01369.1*A,"['00674.*A', '00751.4*A', '00788.*A', '01353.*A', '01975.1*A', '01346.*A', '01437.*A', '01400.5*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '13048.*A', '13072.*A', '13108.*A', '25117.*A']"
18,01400.5*A,"['00674.*A', '01353.*A', '01975.1*A', '01346.*A', '01437.*A', '01369.1*A', '01434.*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '01560.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '13048.*A', '13072.*A', '13079.25*A', '13108.*A', '19352.1*A', '19403.*A', '19411.1*A', '19514.*A', '19589.*A', '25117.*A']"
19,01434.*A,"['00674.*A', '00751.4*A', '00788.*A', '01353.*A', '01975.1*A', '01346.*A', '01437.*A', '01369.1*A', '01400.5*A', '01497.*A', '01590.*A', '01593.*A', '02165.*A', '01641.*A', '01651.*A', '01654.*A', '01647.*A', '01788.2*A', '01794.*A', '01818.*A', '01853.*A', '01376.1*A', '01971.*A', '01899.*A', '02166.*A', '02204.*A', '02389.1*A', '01986.*A', '02017.*A', '02112.*A', '02160.1*A', '02170.*A', '01539.*A', '02211.*A', '02341.*A', '02383.*A', '02396.*A', '02413.*A', '01818.1*A', '02461.*A', '02356.1*A', '13048.*A', '13072.*A', '13108.*A', '25117.*A']"
